CustomerID,OrderID,Date,Full_Name,CustomerCity,CustomerState,ProdNumber,CategoryID,CategoryName,CategoryAbbreviation,ProdName,Category,TotalQuantity,TotalRevenue,TotalPrice
2,2343,17/05/2021,"Bunny Trevan",Jamaica,"New York",TV811,7,"Training Videos",TV,"Understanding Drone Regulations",7,5,135,27
3,1599,10/12/2020,"Tracie Grayston",Atlanta,Georgia,RS705,6,Robots,RS,"RQTE-554 Robot",6,5,3420,684
5,122,24/01/2020,"Shea Stronghill",Midland,Texas,TV804,7,"Training Videos",TV,"Drone Video Techniques",7,1,37,37
6,796,19/06/2020,"Geoffry Bonde","San Francisco",California,DK205,2,"Drone Kits",DK,BYOD-350,2,3,267,89
6,326,07/03/2020,"Geoffry Bonde","San Francisco",California,BP107,1,Blueprints,BP,"Ladybug Robot Blueprint",1,5,60,12
7,2003,04/03/2021,"Noelle Carlile","Oklahoma City",Oklahoma,EB514,4,eBooks,EB,"Polar Robots",4,3,69,23
8,481,09/04/2020,"Binny Whetson",Rochester,"New York",TV805,7,"Training Videos",TV,"Industrial 3D Printing",7,5,245,49
9,1470,11/11/2020,"Curran MacMichael",Tucson,Arizona,EB514,4,eBooks,EB,"Polar Robots",4,3,69,23
10,1886,09/02/2021,"Andy Woodruff",Rochester,"New York",DK209,2,"Drone Kits",DK,BYOD-550,2,3,537,179
10,1439,02/11/2020,"Andy Woodruff",Rochester,"New York",DS307,3,Drones,DS,"MICR-564K Drone",3,5,2495,499
10,983,29/07/2020,"Andy Woodruff",Rochester,"New York",BP110,1,Blueprints,BP,"Sleepy Eye Blueprint",1,4,44,11
11,50,09/01/2020,"Darla Hassen",Rochester,"New York",EB504,4,eBooks,EB,"Cartesian Robots",4,1,12,12
12,528,23/04/2020,"Gerard Witherdon",Norman,Oklahoma,TV807,7,"Training Videos",TV,"Open Source Code",7,5,160,32
13,2186,15/04/2021,"Faber Boosey",Richmond,Virginia,EB501,4,eBooks,EB,"Articulated Robots",4,6,138,23
14,2344,17/05/2021,"Jorgan Gregh",Tampa,Florida,DS304,3,Drones,DS,"DTE-QFN20 Drone",3,3,750,250
16,1777,18/01/2021,"Annelise Genders","Silver Spring",Maryland,DS301,3,Drones,DS,"DA-SA702 Drone",3,2,798,399
18,423,30/03/2020,"Mead Whiteley",Trenton,"New Jersey",DS302,3,Drones,DS,"DC-304 Drone",3,3,1185,395
19,382,21/03/2020,"Major Aynold",Madison,Wisconsin,RK607,5,"Robot Kits",RK,BYOR-4005,5,5,1225,245
20,2072,20/03/2021,"Waylan Waison","Cedar Rapids",Iowa,BP110,1,Blueprints,BP,"Sleepy Eye Blueprint",1,5,55,11
20,461,05/04/2020,"Waylan Waison","Cedar Rapids",Iowa,RK607,5,"Robot Kits",RK,BYOR-4005,5,6,1470,245
20,116,24/01/2020,"Waylan Waison","Cedar Rapids",Iowa,TV808,7,"Training Videos",TV,"Robotic Essentials",7,3,102,34
22,388,22/03/2020,"Lucias Stubbins",Chattanooga,Tennessee,RK603,5,"Robot Kits",RK,BYOR-1500,5,5,945,189
24,1721,06/01/2021,"Worden Gobeau",Reno,Nevada,EB508,4,eBooks,EB,"Fixed Wing Drones",4,4,60,15
24,737,03/06/2020,"Worden Gobeau",Reno,Nevada,BP107,1,Blueprints,BP,"Ladybug Robot Blueprint",1,5,60,12
27,974,27/07/2020,"Jacki Kleinzweig",Chandler,Arizona,BP105,1,Blueprints,BP,"Creature Robot Arms Blueprint",1,5,60,12
28,2178,14/04/2021,"Brok De Morena","Corpus Christi",Texas,DS305,3,Drones,DS,"DTI-84 Drone",3,2,910,455
28,269,24/02/2020,"Brok De Morena","Corpus Christi",Texas,TV808,7,"Training Videos",TV,"Robotic Essentials",7,2,68,34
30,1259,26/09/2020,"Emelina Nestle",Jamaica,"New York",DK203,2,"Drone Kits",DK,BYOD-220,2,3,207,69
32,2235,24/04/2021,"Skelly Bubb","San Francisco",California,TV807,7,"Training Videos",TV,"Open Source Code",7,4,128,32
35,1907,13/02/2021,"Izaak Belfelt",Chicago,Illinois,EB505,4,eBooks,EB,"Delivery Drones",4,3,42,14
35,1788,21/01/2021,"Izaak Belfelt",Chicago,Illinois,TV802,7,"Training Videos",TV,"AI for Educators",7,6,294,49
35,1447,04/11/2020,"Izaak Belfelt",Chicago,Illinois,DK201,2,"Drone Kits",DK,BYOD-100,2,3,162,54
37,1079,21/08/2020,"Othilie Cicullo","Fort Wayne",Indiana,DS302,3,Drones,DS,"DC-304 Drone",3,3,1185,395
40,1650,22/12/2020,"Kailey Quartermain",Portsmouth,"New Hampshire",TV813,7,"Training Videos",TV,"Virtual Reality Basics",7,3,87,29
42,1801,23/01/2021,"Adrianne Jumonet",Atlanta,Georgia,EB503,4,eBooks,EB,"Building Your Own Drone",4,4,96,24
42,1606,11/12/2020,"Adrianne Jumonet",Atlanta,Georgia,DS306,3,Drones,DS,"DX-145 Drone",3,5,1250,250
43,1415,27/10/2020,"Milli Mulcaster",Columbus,Ohio,DS307,3,Drones,DS,"MICR-564K Drone",3,3,1497,499
43,40,07/01/2020,"Milli Mulcaster",Columbus,Ohio,DS306,3,Drones,DS,"DX-145 Drone",3,4,1000,250
45,1922,15/02/2021,"Myca Kitchinghan",Phoenix,Arizona,RS702,6,Robots,RS,"MICR-23K Robot",6,1,899,899
45,1375,19/10/2020,"Myca Kitchinghan",Phoenix,Arizona,RK604,5,"Robot Kits",RK,BYOR-2640S,5,3,567,189
46,2276,03/05/2021,"Dill Gyrgorcewicx",Tulsa,Oklahoma,RK605,5,"Robot Kits",RK,BYOR-3000,5,5,1070,214
46,1444,03/11/2020,"Dill Gyrgorcewicx",Tulsa,Oklahoma,RS705,6,Robots,RS,"RQTE-554 Robot",6,3,2052,684
46,58,12/01/2020,"Dill Gyrgorcewicx",Tulsa,Oklahoma,EB514,4,eBooks,EB,"Polar Robots",4,4,92,23
47,1527,23/11/2020,"Gabby MacLennan","Wilkes Barre",Pennsylvania,EB503,4,eBooks,EB,"Building Your Own Drone",4,3,72,24
47,1051,15/08/2020,"Gabby MacLennan","Wilkes Barre",Pennsylvania,RS706,6,Robots,RS,"RWW-75 Robot",6,3,2649,883
48,745,05/06/2020,"Claude Nisuis",Springfield,Massachusetts,EB502,4,eBooks,EB,"Building Your First Robot",4,4,96,24
49,2302,09/05/2021,"Renelle Frangello",Cleveland,Ohio,DK207,2,"Drone Kits",DK,BYOD-400S,2,2,258,129
49,1653,22/12/2020,"Renelle Frangello",Cleveland,Ohio,BP108,1,Blueprints,BP,"Panda Robot Blueprint",1,3,21,7
49,1400,24/10/2020,"Renelle Frangello",Cleveland,Ohio,BP110,1,Blueprints,BP,"Sleepy Eye Blueprint",1,5,55,11
54,1270,28/09/2020,"Chaunce Pardi","Sioux Falls","South Dakota",RK603,5,"Robot Kits",RK,BYOR-1500,5,3,567,189
55,2352,19/05/2021,"Mala Meneely",Chicago,Illinois,EB511,4,eBooks,EB,"Helicopter Drones",4,3,60,20
56,820,24/06/2020,"Jessamine Denney","Oklahoma City",Oklahoma,TV805,7,"Training Videos",TV,"Industrial 3D Printing",7,1,49,49
57,1162,07/09/2020,"Angy Millions",Rochester,"New York",EB503,4,eBooks,EB,"Building Your Own Drone",4,4,96,24
60,1823,26/01/2021,"Arron Cutcliffe",Lansing,Michigan,RK604,5,"Robot Kits",RK,BYOR-2640S,5,3,567,189
60,1693,31/12/2020,"Arron Cutcliffe",Lansing,Michigan,BP105,1,Blueprints,BP,"Creature Robot Arms Blueprint",1,4,48,12
60,1595,09/12/2020,"Arron Cutcliffe",Lansing,Michigan,RS702,6,Robots,RS,"MICR-23K Robot",6,3,2697,899
64,2106,29/03/2021,"Lynnelle Beckensall",Philadelphia,Pennsylvania,TV812,7,"Training Videos",TV,"Understanding Raspberry PI",7,1,28,28
66,1877,07/02/2021,"Nickolai Briton","San Jose",California,EB521,4,eBooks,EB,"Understanding Artificial Intelligence",4,2,38,19
66,1104,26/08/2020,"Nickolai Briton","San Jose",California,RK604,5,"Robot Kits",RK,BYOR-2640S,5,3,567,189
66,940,20/07/2020,"Nickolai Briton","San Jose",California,BP108,1,Blueprints,BP,"Panda Robot Blueprint",1,2,14,7
67,2016,07/03/2021,"Patience Menendez",Galveston,Texas,BP104,1,Blueprints,BP,"Cat Robot Blueprint",1,5,20,4
67,1894,11/02/2021,"Patience Menendez",Galveston,Texas,BP107,1,Blueprints,BP,"Ladybug Robot Blueprint",1,3,36,12
70,2094,26/03/2021,"Pandora Punter",Naples,Florida,DK206,2,"Drone Kits",DK,BYOD-400,2,5,595,119
71,2027,10/03/2021,"Darb Meaddowcroft",Tacoma,Washington,RK604,5,"Robot Kits",RK,BYOR-2640S,5,2,378,189
71,1279,30/09/2020,"Darb Meaddowcroft",Tacoma,Washington,EB520,4,eBooks,EB,"Understanding Arduino",4,4,68,17
71,633,15/05/2020,"Darb Meaddowcroft",Tacoma,Washington,RK606,5,"Robot Kits",RK,BYOR-3535,5,2,450,225
71,400,24/03/2020,"Darb Meaddowcroft",Tacoma,Washington,TV808,7,"Training Videos",TV,"Robotic Essentials",7,4,136,34
72,2266,02/05/2021,"Morgan Manske",Brockton,Massachusetts,TV812,7,"Training Videos",TV,"Understanding Raspberry PI",7,2,56,28
72,1336,13/10/2020,"Morgan Manske",Brockton,Massachusetts,TV808,7,"Training Videos",TV,"Robotic Essentials",7,4,136,34
72,1136,02/09/2020,"Morgan Manske",Brockton,Massachusetts,BP105,1,Blueprints,BP,"Creature Robot Arms Blueprint",1,3,36,12
74,2328,14/05/2021,"Jobyna Jordan",Melbourne,Florida,BP101,1,Blueprints,BP,"All Eyes Drone Blueprint",1,6,54,9
74,1477,13/11/2020,"Jobyna Jordan",Melbourne,Florida,RK602,5,"Robot Kits",RK,BYOR-1000,5,5,945,189
74,746,05/06/2020,"Jobyna Jordan",Melbourne,Florida,EB503,4,eBooks,EB,"Building Your Own Drone",4,4,96,24
75,963,23/07/2020,"Shaine Gumme","Oklahoma City",Oklahoma,RS707,6,Robots,RS,"RXW-9807 Robot",6,5,2995,599
76,2183,15/04/2021,"Derk Duddan",Elizabeth,"New Jersey",DK206,2,"Drone Kits",DK,BYOD-400,2,3,357,119
77,1261,26/09/2020,"Mair Mallabar","Saint Paul",Minnesota,RS703,6,Robots,RS,"RCB-889 Robot",6,4,2196,549
79,2211,20/04/2021,"Chev Lisett",Whittier,California,RS703,6,Robots,RS,"RCB-889 Robot",6,4,2196,549
80,1519,21/11/2020,"Allard Dalloway","Green Bay",Wisconsin,EB519,4,eBooks,EB,"Spherical Robots",4,5,80,16
80,674,22/05/2020,"Allard Dalloway","Green Bay",Wisconsin,TV804,7,"Training Videos",TV,"Drone Video Techniques",7,2,74,37
81,1890,10/02/2021,"Linnet Bleiman",Tampa,Florida,EB511,4,eBooks,EB,"Helicopter Drones",4,3,60,20
86,1854,01/02/2021,"Arnold Sommersett",Reston,Virginia,BP106,1,Blueprints,BP,"Hexacopter Drone Blueprint",1,4,32,8
87,2167,11/04/2021,"Turner Bodocs","Myrtle Beach","South Carolina",BP101,1,Blueprints,BP,"All Eyes Drone Blueprint",1,6,54,9
90,2367,22/05/2021,"Debee Syrad",Seattle,Washington,DS303,3,Drones,DS,"DTD-7000 Drone",3,2,900,450
95,630,15/05/2020,"Birgitta Decourcy",Mobile,Alabama,TV808,7,"Training Videos",TV,"Robotic Essentials",7,4,136,34
95,596,09/05/2020,"Birgitta Decourcy",Mobile,Alabama,BP106,1,Blueprints,BP,"Hexacopter Drone Blueprint",1,2,16,8
96,75,16/01/2020,"Alano Cudmore",Chattanooga,Tennessee,DK205,2,"Drone Kits",DK,BYOD-350,2,5,445,89
98,2177,13/04/2021,"Anson Anfusso","Cedar Rapids",Iowa,BP102,1,Blueprints,BP,"Bsquare Robot Blueprint",1,3,24,8
98,1789,21/01/2021,"Anson Anfusso","Cedar Rapids",Iowa,EB505,4,eBooks,EB,"Delivery Drones",4,3,42,14
98,936,19/07/2020,"Anson Anfusso","Cedar Rapids",Iowa,BP104,1,Blueprints,BP,"Cat Robot Blueprint",1,6,24,4
98,477,08/04/2020,"Anson Anfusso","Cedar Rapids",Iowa,EB513,4,eBooks,EB,"Photograph Drones",4,6,84,14
99,1335,12/10/2020,"Marjie Bodesson",Rochester,"New York",DS305,3,Drones,DS,"DTI-84 Drone",3,3,1365,455
99,1278,30/09/2020,"Marjie Bodesson",Rochester,"New York",DK202,2,"Drone Kits",DK,BYOD-200,2,4,232,58
